"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"The Ark of Disperata","Edoardo Winspeare","Gustavo Caputo, Antonio Carluccio, Claudio Giangreco, Celeste Casciaro, Davide Riso, Alessandra De Luca, Francesco Ferrante, Antonio Pennarella, Tommasina Cacciatore, Marco Antonio Romano","","",2017,"13+","111 min","Comedy, Drama","In a small godforsaken town in southern Italy called Disperata, Filippo, the melancholic mayor feels terribly inadequate in fulfilling his duties. The only glimpse of light in the overall gloom is his love for poetry and teaching literature to prison inmates. That is where he meets Pati, a low-level criminal; both Pati and his brother Angiolino share the dream of becoming Mafia bosses."
"Monk","Ties Schenk","Teun Stokkel, Olivia Lonsdale, Marina Gatell, Sam Louwyck","","",2017,"13+","71 min","Comedy, Drama, Kids","MONK is the story of the almost collapse of a chaotic Dutch-Spanish family whose family members suffer from various modern neuroses and depression, hysteria, hypochondria and beauty complexes."
"Jawani Phir Nahi Ani","Nadeem Baig","Humayun Saeed, Mehwish Hayat","","",2020,"16+","156 min","Comedy, Kids","Three childhood friends have settled down in married life but are afraid of their wives. Their friend, a divorce lawyer, returns to Pakistan from the United States and finds that all his friends are in miserable marriages."
"Calm Like A Bomb","Mauro Russo Rouge","Mauro Pacenti, Serena Debianchi, Gianfranco Giglio, Giovanni Pescetti","","",2021,"18+","82 min","Action, Suspense","A man whose girlfriend was murdered takes revenge during the course of a single night. A spiral of shocking violence leaves no room for words. A man, his woman, three criminals and the distorted sounds of a city are the only reference."
"Varappogum 24 Manikkul","Sreenivass Redde","Satyadev, Eesha Rebba, Musskan Sethi, Srikanth","","",2019,"13+","131 min","Drama, Romance, Suspense","Vidya is happily married to Rahul until tragedy strikes with her husband's death - and she is the one responsible. She becomes the prime suspect during the investigation headed by ACP Narasimha. With growing suspicion and an unending maze of mystery, a secret is revealed which turns everyone's lives upside down."
"Tik Tok Tripura Sundari","G.K.Kumar","Tara Chowdary, Divya","","",2021,"13+","60 min","Romance","Suvarna Sundari is a TikTok star, her fans call her TikTok Sundari and she gets depressed when TikTok was banned in India. TikTok Sundari dies in an accident while coming back from the pub. Gowtham, a son of a CEO of a software company, Sumitra. He needs to save himself from a forced marriage with the ghost of TikTok Sundari. Sumitra comes to know his son was behind the death of TikTok Sundari."
"The Wrong One","Yaa Boaa  Aning","Wei-Yi  Lin, Duke Williams","","",2019,"16+","25 min","Horror","Lisa a troubled college student, who has been tasked with producing a document- for her journalism final on a tragic local murder that took place years ago. She partners with the magnetic Tim , to uncover the mysterious death of young Ronet While unraveling the sordid details of Ronet's un- timely death, Lisa is confronted with her ever deepening guilt over the death of her own twin sister."
"Sin Pepitas en la Lengua","Juan Carlos Garcia de Paredes, Carlos Garcia de Paredes","Ash Olivera, Camila Aybar, Diego Barbich, Fabiola Candido","","",2021,"16+","88 min","Comedy","Isa, who is aggravated by her life, decides to visit a non traditional doctor. Through the use of hypnotherapy, Isa discovers that her pain is caused by repressed feelings and that the way for her to heal is to say everything she thinks."
"Rex Park: Curse of the Golden Buddha","Jason Park","Jason Park, Christopher Deon, Rachel Sanchez, Christopher Jeffreys","","",2021,"18+","86 min","Comedy","After not being able to pay rent and owing money to a drug lord 3 Roommates struggle to find the one thing that can save their lives, The Golden Buddha! But beware of the curse hidden behind the beautiful gold statue, they're gonna need some good luck."
"Quarantine Girl","Nicole D'Angelo, Gregory Hatanaka","Nicole D'Angelo, Lisa London, Shane Ryan, Chris Spinelli, Craijece Lewis, David Marc, Mark Erwin Galang","","",2020,"18+","62 min","Comedy","A woman's mental state deteriorates as she isolates herself during an epidemic."
"Pattam","j ramesh","Thavasi, Murali Krishna, Johnsi, Raveena, Kamalesh","","",2021,"13+","86 min","Drama, Kids, Special Interest","Prem and Priya as Siblings in a Nuclear family fall prey to the perils of inadvertent use of social media. Parents are lost in their world and have a different outlook regarding the upbringing of their children. The siblings now have to come to terms with life and thankfully they have their grandfather, who pays a visit to their family in the city."
"One and the Same","Felipe Cisneros","Glenn Plummer, Acoryé White, Ignacyo Matynia, Makena Taylor","","",2021,"13+","111 min","Drama, Science Fiction","When a young woman, Lola, is invited to a secret facility, she discovers an experiment beyond space and time. After uncovering her own past life as a teenage boy named Robbie, she embarks on a malevolent path for justice against the ex-con who killed him."
"Ondu Motteya Kathe","Raj B. Shetty","Raj B. Shetty, Shailashree, Amrutha Naik, Shreya Anchan","","",2017,"7+","132 min","Comedy, Drama","Bald men are often made a butt of jokes, sometimes amongst friends and sometimes by random strangers. Ondu Motteya Kathe (EGGHEAD) is a simple tale of a young bald man trying to find his soulmate. Will he find the girl of his dreams? Will he make his heart shine brighter than his head? A funny film with everyday characters and their real emotions. A struggle to be truly loved and not laughed at."
"Kuessipan","Myriam Verreault","","","",2021,"16+","117 min","Arthouse, Drama","Adapted from Naomi Fontaine's acclaimed novel, Kuessipan is Myriam Verreault's first narrative feature. In a Quebec Innu community, Mikuan and Shaniss struggle to maintain their close friendship when they clash over their diverging ambitions. When Mikuan falls in love with a white boy and starts to consider a life beyond their tiny reserve, her bond with her friend is put to the test."
"Gho Gho Rani","Munni Pankaj","Nishi Neha Mishra, Pankaj Kamal, Monu Raj, Ashok Pathak, Akash Kumar, Munni Pankaj","","",2019,"ALL","100 min","Drama, Romance","Based on women empowerment. Principal of the ranker's college narrating a story to his students regarding Santanu's welfare."
"Butch Bradley: From Las Vegas","Sean McNamara","Butch Bradley","","",2021,"18+","45 min","Arts, Entertainment, and Culture, Comedy","Voted ""Best of Las Vegas"" 2020, Comedian Butch Bradley performs live from The Strat Hotel, Casino and Skypod in Las Vegas. One of the most popular comedians on today's circuit brings you the one thing you will remember from Vegas that you won't regret."
"Black Bud","Amol Kale","Himarsha V, Atul Kulkarni, Praveen Sirohi, Kiran Thapar","","",2021,"18+","91 min","Arthouse, Drama","An Artist lost in lust, a Don madly in love and a Crook desperate for diamonds try to seduce Sanya Malhotra a young call centre employee. As Sanya tries to escape the don's emotional trap she ends up helping the Crook but is also drawn to the artist. She has to make a choice but at what cost ?"
"Wodehouse in Exile","Tim Fywell","Tim Piggot-Smith, Zoe Wanamaker, Julian Rhind-Smith","","",2013,"16+","83 min","Drama","How did the author PG Wodehouse come to face a charge of treason during the Second World War and how did this quintessential Englishman, creator of Jeeves and Wooster, become an exile from his own country?"
"Where is Chicky? - Chapter Six","William Hoareau","","","",2021,"ALL","17 min","Animation, Comedy, Kids","Nobody knows where Chicky is exactly. We just know he is cute and deeply naïve. In this compilation, follow Chicky the cartoon bird as he chases an Egg, goes on a Bumper car and many more Chicky adventures!"
"The C Word","Tim Kirkby","Sheridan Smith, Paul Nichols, Michael Maloney, Hadyn Gwynne, Nate Fallows, Rebekah Staton, Susannah Field","","",2015,"16+","90 min","Drama","The C Word is an adaptation of Lisa Lynch's candid book about her experience of cancer, based on her popular blog which was launched shortly after her diagnosis. This film is a defiant and surprisingly funny story of life, love and cancer."
"Nuvvunte Naa Jathaga","Sanjay Karlapudi","Sreekanth Biroju, Geethika Rathan, Rafiksha, TNR, Satish Saripalli, Dhanalakshmi, Sunitha Manohar, Rajashekar Aningi","","",2021,"13+","128 min","Romance","It's a typical Indian middle class drama based on true life incidents. Bhuvi believes life has no higher purpose other than accomplishing love. Ram is a dreamer with an aspiration of becoming Author. The day doesn't take long to arrive when they have to choose between love and dreams."
"Gumm","Ammar Lasani, Kanza Zia","Sami Khan, Shameen Khan, Shamoon Abbasi, Anjum Habibi, Aleeza Syed","","",2019,"18+","96 min","Action, Romance, Suspense","A wanted criminal and a desperate father who are interlinked by a series of unfortunate events, manipulate their chances to save what matters most to them. Lost in the middle of nowhere, will they be able to win this battle against the ticking clock?"
"Cypher - Shoonya Se Shikhar Tak","Sagar Pathak","Paresh Bhanushali, Brijendra Kala, Rajesh Sharma, Vikram Ghokale, Shishir Sharma, Krunal Pandit, Krishna Bhatt, Arun Bali, Mukesh S. Bhatt, Arun Kushwah","","",2019,"7+","121 min","Drama","""Shoonya Se Shikhar Tak"" narrates the inspirational story of a man who was born without hands and overcame plethora of limitations to achieve great things in life. Must watch motivational family film."
"Somnus","Chris Reading","Marcus McMahon, Meryl Griffiths, Cullum Austin, Mac McDonald","","",2016,"13+","83 min","Science Fiction, Suspense","In the far reaches of our galaxy, a cargo vessel crash lands on an asteroid colonized by forgotten inhabitants with a dark past."
"Quit","Dick Rude","Noah Segan, Diora Baird, Nathan Phillips, Lee Arenberg, Don Swayze, Sasha Grey","","",2021,"16+","87 min","Arthouse, Drama, Romance","When a twenty-something couple go away to the desert of Joshua Tree to quit smoking together their relationship is tested. We share the torture the couple put themselves through but learn smoking is a metaphor for their addictive relationship."
"Punarjagran","Aniruddha Upadhyay","Mukesh Ram Prajapati, Deepak Jha, Babita Srivastawa, Chanda Kumari, Tapas Chakrawarti, Rakesh Gautam, Basant Mishra, Yas Kumar, Ajit Aroda","","",2021,"13+","99 min","Drama, Special Interest","Punarjagran (Reawakening) is a film based the life and teaching of Swami Vivekananda his Guru Ramakrishana Passed on his spiritual teaching to him. Swami ji spreads his spiritual teaching abroad. And thereafter he returns back and enlightens the people of india"
"Nicole Burch: Never Been Kissed","Corey Martin Craig","Nicole Burch","","",2020,"18+","50 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Nicole has been through the wringer when it comes to dating. Then one night she meets her childhood crush and celebrity, Michael Vartan. Could he be the one who saves her from an unlucky streak or will Nicole find another way to sabatoge fate?"
"Dave Helem: DJ The Chicago Kid","Brian Volk-Weiss","Dave Helem","","",2021,"18+","61 min","Arts, Entertainment, and Culture, Comedy, Special Interest","DJ the Chicago Kid is an hour-long roller coaster of things that have made Dave Helem who he is, both good and bad. The comedian and former math teacher's laid back style of storytelling & vivid imagination takes us on a journey of topics."
"Arjun Anu","Jeffrey Gee Chin","Vishnu Manchu, Kajal Aggarwal, Suniel Shetty, Naveen Chandra, Navdeep, Harsha, Mahima Makwana, Karma McCain, Ruhi Singh","","",2021,"13+","133 min","Action, Drama","Based on a series of true incidents that shook the Indian IT Industry and conned a whopping $380 million dollars (Rs.2,800 crores). This Project is about cultural clash between generations; between east and west; between rich and poor. On a moral downward spiral, yet an upward climb to great financial success, Anu and Arjun become savvy criminals and devise an ingenious scam."
